CVE ID,Primary Impact,Secondary Impact,Exploitation Technique,Uncategorized,Phase
CVE-2019-15243,T1059,,T1190; T1078,,Phase 2
CVE-2019-15976,T1068,T1059,T1190,,Phase 2
CVE-2019-15956,T1499; T1098,,T1190; T1078,,Phase 2
CVE-2019-15958,T1059,,T1190,,Phase 2
CVE-2019-12660,T1574,T1562,T1078,,Phase 2
CVE-2019-1753,T1068,T1059,T1190; T1078,,Phase 2
CVE-2019-1860,T1557,T1005,,,Phase 2
CVE-2019-1831,T1036,T1566,,,Phase 2
CVE-2019-1942,T1059,T1005; T1565.001,T1133; T1078,,Phase 2
CVE-2019-15972,T1059,T1005; T1565.001,T1133; T1078,,Phase 2
CVE-2019-16009,T1608,,T1204.001,,Phase 2
CVE-2019-1879,T1068,T1059,T1078,,Phase 2
CVE-2019-1863,T1068,T1565.001,T1190; T1078,,Phase 2
CVE-2020-3403,T1068,T1059,T1078,,Phase 2
CVE-2019-1941,T1059.007,T1557,T1204.001,,Phase 2
CVE-2020-3292,T1499.004,T1059,T1190; T1078,,Phase 2
CVE-2018-15397,T1529,,T1190,,Phase 2
CVE-2020-3253,T1059,,T1078,,Phase 2
CVE-2019-1838,T1059.007,T1557,T1204.001,,Phase 2
CVE-2020-3233,T1059.007,T1557,T1204.001,,Phase 2
CVE-2018-15401,T1608,,T1204.001,,Phase 2
CVE-2019-15249,T1059,,T1190; T1078,,Phase 2
CVE-2019-15280,T1059.007,T1557,T1189,,Phase 2
CVE-2019-15288,T1608,,T1133; T1078,,Phase 2
CVE-2019-1781,T1608,T1059,T1078,,Phase 2
CVE-2020-3460,T1565.002,T1185,,,Phase 2
CVE-2020-3137,T1059.007,T1557,T1204.001,,Phase 2
CVE-2020-3312,T1005,,T1190,,Phase 2
CVE-2019-1768,T1608,T1059,T1078,,Phase 2
CVE-2020-3379,T1608,,T1078,,Phase 2
CVE-2019-1724,T1563,,,,Phase 2
CVE-2019-1817,T1529,,T1190,,Phase 2
CVE-2020-3477,T1005,,T1078,,Phase 2
CVE-2019-1794,T1574.008,,T1078,,Phase 2
CVE-2019-1620,T1105,T1059,,,Phase 2
CVE-2020-3216,T1068,T1059,,,Phase 2
CVE-2020-3306,T1499,,T1190,,Phase 2
CVE-2019-1886,T1489,,,,Phase 2
CVE-2019-1711,T1489,,,,Phase 2
CVE-2020-3375,T1059,,T1190,,Phase 2
CVE-2019-1857,T1608,,T1204.001,,Phase 2
CVE-2019-1703,T1499.002,,,,Phase 2
CVE-2019-15963,T1005,,T1078,,Phase 2
CVE-2019-1689,T1105,T1565.001; T1531,,,Phase 2
CVE-2020-3476,T1565.001,,T1078,,Phase 2
CVE-2018-15466,T1608,T1005,,,Phase 2
CVE-2019-15287,T1059,,T1204.002,,Phase 2
CVE-2019-15998,T1133,,T1078,,Phase 2
CVE-2019-1889,T1068,,T1078,,Phase 2
CVE-2020-3134,T1489,,,,Phase 2
CVE-2019-1736,T1542.001,,,,Phase 2
CVE-2020-3120,T1499,,,,Phase 2
CVE-2019-1764,T1068,,T1204.001,,Phase 2
CVE-2019-1943,T1565.002,T1189,T1557,,Phase 2
CVE-2019-1665,T1059.007,T1557,T1204.001,,Phase 2
CVE-2019-15994,T1059.007,T1557,T1204.001,,Phase 2
CVE-2019-1747,T1477,T1489,,,Phase 2
CVE-2019-15959,T1059,,T1091,,Phase 2
CVE-2019-15974,T1565.002,T1189,,,Phase 2
CVE-2019-1772,T1059,,T1566; T1204.002,,Phase 2
CVE-2020-3133,T1190,,T1566.001,,Phase 2
CVE-2019-12696,T1190,,T1204.002,,Phase 2
CVE-2020-3387,T1068,,T1190; T1133,,Phase 2
CVE-2018-15393,T1059.007,T1557,T1204.001,,Phase 2
CVE-2019-1594,T1499.004,,T1190,,Phase 2
CVE-2020-3440,T1565.001,,T1566; T1204.002,,Phase 2
CVE-2019-1876,T1190,T1068,,,Phase 2
CVE-2020-3121,T1059.007,T1557,T1204.001,,Phase 2
CVE-2019-1612,T1059,T1068,T1078; T1133,,Phase 2
CVE-2019-1715,T1078; T1557; T1040,,T1110,,Phase 2
CVE-2019-1609,T1059,T1068,T1078,,Phase 2
CVE-2019-1836,T1565.001,,T1133,,Phase 2
CVE-2019-15289,T1499.004,,T1190,,Phase 2
CVE-2018-15444,T1059,T1005,T1133,,Phase 2
CVE-2019-1611,T1059,T1068,T1078,,Phase 2
CVE-2020-3407,T1499.004,,T1190,,Phase 2
CVE-2020-3237,T1565.001,,T1133,,Phase 2
CVE-2018-15376,T1574; T1499.004,,T1566; T1091; T1204.002,,Phase 2
CVE-2019-15276,T1499.004,,T1189; T1190; T1566,,Phase 2
CVE-2020-3416,T1542.004,,T1078,,Phase 2
CVE-2020-3126,T1080; T1204.002,,T1190,,Phase 2
CVE-2020-3356,T1059.007,T1557,T1204.001,,Phase 2
CVE-2019-1915,T1068,T1098,T1189; T1190; T1566; T1204.002,,Phase 2
CVE-2019-1746,T1499.004,,T1190,,Phase 2
CVE-2020-3397,T1499.004,,T1190,,Phase 2
CVE-2019-1812,T1059,T1548,T1078,,Phase 2
CVE-2020-3322,T1499.004,,T1566; T1204.002,,Phase 2
CVE-2020-3198,T1574; T1499.004,,T1189; T1190; T1133; T1566; T1204.002; T1091,,Phase 2
CVE-2020-3309,T1574,T1565.001,T1190; T1133,,Phase 2
CVE-2020-3177,T1005,,T1190,,Phase 2
CVE-2020-3510,T1499.004,,T1190,,Phase 2
CVE-2020-3513,T1542.004,,T1078,,Phase 2
CVE-2020-3409,T1499.004,,T1190,,Phase 2
CVE-2020-3349,T1059.007,T1557,T1204.001,,Phase 2
CVE-2018-15392,T1499.004,,T1190,,Phase 2
CVE-2018-15462,T1499,,T1190,,Phase 2
CVE-2019-1704,T1499,,T1190,,Phase 2
CVE-2020-3244,T1211,,T1190,,Phase 2
CVE-2020-3240,T1005; T1505.003,T1003.008; T1552.001; T1059,T1133,,Phase 2
CVE-2019-1790,T1059,T1068,T1078,,Phase 2
CVE-2020-5364,T1078.001,T1005,,,Phase 2
CVE-2019-3707,T1190,,,,Phase 2
CVE-2019-3735,T1068,,T1078,,Phase 2
CVE-2018-11048,T1059,T1005; T1499.004,T1133,,Phase 2
CVE-2019-3754,T1059.007,T1557,T1204.001,,Phase 2
CVE-2020-5374,T1078.001,,,,Phase 2
CVE-2018-15771,T1078.001,T1005,,,Phase 2
CVE-2018-15782,T1068,,T1566; T1204.002,,Phase 2
CVE-2019-3723,T1485,T1059; T1574,T1190,,Phase 2
CVE-2018-11045,T1078,,T1110,,Phase 2
CVE-2020-5345,T1190,,T1565.001,,Phase 2
CVE-2020-5336,T1059.007,T1557,T1204.001,,Phase 2
CVE-2018-15795,T1078,,T1110,,Phase 2
CVE-2020-5365,T1078.001,,T1110,,Phase 2
CVE-2019-3717,T1548,,T1200,,Phase 2
CVE-2019-3732,T1005,,T1190,,Phase 2
CVE-2019-3731,T1005,,T1190,,Phase 2
CVE-2020-5326,T1068,T1542.001,,,Phase 2
CVE-2018-15776,T1059,,T1190,,Phase 2
CVE-2019-18573,T1563,,,,Phase 2
CVE-2019-3727,T1059,T1068,,,Phase 2
CVE-2019-3728,T1489,,,,Phase 2
CVE-2019-3790,T1563,,T1078,,Phase 2
CVE-2019-3719,T1059,,T1204.002,,Phase 2
CVE-2018-15764,T1059,,T1190,,Phase 2
CVE-2018-11084,T1496,,,,Phase 2
CVE-2020-5339,T1059.007,T1185,T1189,,Phase 2
CVE-2018-15784,T1557,,,,Phase 2
CVE-2020-5386,T1005,,,,Phase 2
CVE-2019-3704,T1059,T1068,T1078,,Phase 2
CVE-2019-3799,T1005,,T1190,,Phase 2
CVE-2019-18578,T1059.007,T1185,T1189,,Phase 2
CVE-2020-5340,T1059.007,T1185,T1189,,Phase 2
CVE-2020-5358,T1068,,,,Phase 2
CVE-2020-5371,T1068,T1005,,,Phase 2
CVE-2019-3758,T1190,T1136,,,Phase 2
CVE-2018-11051,T1005,,T1190,,Phase 2
CVE-2020-5378,T1542.001,,,,Phase 2
CVE-2019-3767,T1005,,,,Phase 2
CVE-2018-15800,T1078,,T1110,,Phase 2
CVE-2018-11059,T1059.007,T1185,T1189,,Phase 2
CVE-2019-3775,T1098,,,,Phase 2
CVE-2018-11075,T1059.007,T1185,T1204.002,,Phase 2
CVE-2020-5376,T1542.001,,,,Phase 2
CVE-2018-15761,T1068,,T1078,,Phase 2
CVE-2019-3787,T1552,T1078; T1098,,,Phase 2
CVE-2018-15797,T1068,,T1552,,Phase 2
CVE-2019-3791,,,,,Phase 2
CVE-2018-15772,T1499,,,,Phase 2
CVE-2020-5331,T1005,,,,Phase 2
CVE-2020-5362,T1068,T1098,,,Phase 2
CVE-2019-18571,T1059.007,T1185,T1204.002,,Phase 2
CVE-2018-15788,,,,,Phase 2
CVE-2019-3782,T1552.001,T1098,,,Phase 2
CVE-2020-5379,T1542.001,,,,Phase 2
CVE-2019-18583,,,,,Phase 2
